2020-10-08T15:46:48-0400 [INFO    ] dandi Traversing remote dandisets (000037) recursively
2020-10-08T15:46:48-0400 [INFO    ] backups2datalad.py Updating metadata file
2020-10-08T15:46:48-0400 [INFO    ] backups2datalad.py Syncing asset /sub-411400/sub-411400_ses-20181015T173410_behavior+ophys.nwb
2020-10-08T15:46:48-0400 [INFO    ] backups2datalad.py Asset not in dataset; will copy
2020-10-08T15:46:48-0400 [INFO    ] backups2datalad.py cp /mnt/backup/dandi/dandiarchive-s3-backup/girder-assetstore/52/78/5278896eeb2343deb6140e878815002a -> /mnt/backup/dandi/dandiarchive-replica/000037/sub-411400/sub-411400_ses-20181015T173410_behavior+ophys.nwb
2020-10-08T15:46:48-0400 [INFO    ] backups2datalad.py Adding asset to dataset
2020-10-08T15:46:53-0400 [INFO    ] backups2datalad.py Adding URL https://dandiarchive.s3.amazonaws.com/girder-assetstore/52/78/5278896eeb2343deb6140e878815002a?versionId=pqKYu2NRJSj7LeaxHNjYrJvBnfNGwcKv to asset
2020-10-08T15:46:53-0400 [INFO    ] backups2datalad.py Syncing asset /sub-411771/sub-411771_ses-20181003T174857_behavior+ophys.nwb
2020-10-08T15:46:54-0400 [INFO    ] backups2datalad.py Asset not in dataset; will copy
2020-10-08T15:46:54-0400 [INFO    ] backups2datalad.py cp /mnt/backup/dandi/dandiarchive-s3-backup/girder-assetstore/a6/20/a6203911dba44060be98031669c4ce57 -> /mnt/backup/dandi/dandiarchive-replica/000037/sub-411771/sub-411771_ses-20181003T174857_behavior+ophys.nwb
2020-10-08T15:46:54-0400 [INFO    ] backups2datalad.py Adding asset to dataset
2020-10-08T15:46:55-0400 [INFO    ] backups2datalad.py Adding URL https://dandiarchive.s3.amazonaws.com/girder-assetstore/a6/20/a6203911dba44060be98031669c4ce57?versionId=aeFSt_7Q_3nL6A_nTGH4DXQJX7StaGYT to asset
2020-10-08T15:46:56-0400 [INFO    ] backups2datalad.py Syncing asset /sub-411771/sub-411771_ses-20181008T172946_behavior+ophys.nwb
2020-10-08T15:46:56-0400 [INFO    ] backups2datalad.py Asset not in dataset; will copy
2020-10-08T15:46:56-0400 [INFO    ] backups2datalad.py cp /mnt/backup/dandi/dandiarchive-s3-backup/girder-assetstore/19/58/1958fc9b9f034f71b7faecfda1756756 -> /mnt/backup/dandi/dandiarchive-replica/000037/sub-411771/sub-411771_ses-20181008T172946_behavior+ophys.nwb
2020-10-08T15:46:56-0400 [INFO    ] backups2datalad.py Adding asset to dataset
2020-10-08T15:46:57-0400 [INFO    ] backups2datalad.py Adding URL https://dandiarchive.s3.amazonaws.com/girder-assetstore/19/58/1958fc9b9f034f71b7faecfda1756756?versionId=AYBFKNcNr5qxtyKpmqddbY3AhZU7.KxE to asset
2020-10-08T15:46:57-0400 [INFO    ] backups2datalad.py Commiting changes
2020-10-08T15:46:58-0400 [INFO    ] backups2datalad.py Creating GitHub sibling for 000037
2020-10-08T15:46:58-0400 [INFO    ] datalad.support.github_ Successfully obtained information about organization dandisets-testing using None credential
2020-10-08T15:47:01-0400 [INFO    ] datalad.ui.dialog Clear progress bars
2020-10-08T15:47:01-0400 [INFO    ] datalad.ui.dialog Refresh progress bars
2020-10-08T15:47:01-0400 [INFO    ] backups2datalad.py Pushing to sibling
2020-10-08T15:47:01-0400 [INFO    ] datalad.core.distributed.push Determine push target
2020-10-08T15:47:01-0400 [INFO    ] datalad.core.distributed.push Push refspecs
2020-10-08T15:47:01-0400 [INFO    ] datalad.core.distributed.push Transfer data
2020-10-08T15:47:01-0400 [INFO    ] datalad.core.distributed.push Update availability information
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Start enumerating objects
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Finished enumerating objects
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Start counting objects
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Compressing objects:  55% (25/45)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Compressing objects:  57% (26/45)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Compressing objects:  60% (27/45)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Compressing objects:  62% (28/45)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Compressing objects:  64% (29/45)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Compressing objects:  66% (30/45)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Compressing objects:  68% (31/45)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Compressing objects:  71% (32/45)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Compressing objects:  73% (33/45)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Compressing objects:  75% (34/45)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Compressing objects:  77% (35/45)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Compressing objects:  80% (36/45)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Compressing objects:  82% (37/45)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Compressing objects:  84% (38/45)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Compressing objects:  86% (39/45)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Compressing objects:  88% (40/45)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Compressing objects:  91% (41/45)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Compressing objects:  93% (42/45)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Compressing objects:  95% (43/45)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Compressing objects:  97% (44/45)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Compressing objects: 100% (45/45)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Compressing objects: 100% (45/45), done.
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Finished compressing objects
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Start writing objects
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Writing objects:   1% (1/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Writing objects:   3% (2/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Writing objects:   5% (3/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Writing objects:   7% (4/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Writing objects:   9% (5/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Writing objects:  11% (6/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Writing objects:  12% (7/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Writing objects:  14% (8/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Writing objects:  16% (9/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Writing objects:  18% (10/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Writing objects:  20% (11/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Writing objects:  22% (12/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Writing objects:  24% (13/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Writing objects:  27% (15/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Writing objects:  29% (16/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Writing objects:  31% (17/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Writing objects:  33% (18/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Writing objects:  35% (19/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Writing objects:  37% (20/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Writing objects:  38% (21/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Writing objects:  40% (22/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Writing objects:  42% (23/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Writing objects:  44% (24/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Writing objects:  46% (25/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Writing objects:  48% (26/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Writing objects:  50% (27/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Writing objects:  51% (28/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Writing objects:  53% (29/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Writing objects:  55% (30/54)
2020-10-08T15:47:02-0400 [INFO    ] datalad.gitrepo Writing objects:  57% (31/54)
